id,Collectives,Expenses,CrowdfundingUSD
840165,0,0,$35.02
451281,0,0,$35.00
415170,0,34,"$5,034.30"
507044,0,8,$258.52
734577,0,5,$79.77
760705,0,1,$500.00
590594,0,1,$80.00
733702,0,0,"$1,228.00"
851535,0,0,$20.99
803525,0,0,$250.00
732222,0,0,
773368,0,0,$104.96
430895,0,0,$45.35
789844,0,0,$84.40
153143,0,0,$42.36
478165,0,0,$41.98
267969,0,0,$40.00
205632,0,42,$570.00
800877,0,6,$75.00
754540,0,0,$157.00
651913,0,0,$117.15
796375,0,0,$61.00
692963,0,0,$50.00
537226,0,1,$205.73
794355,0,0,$740.00
878305,0,0,$110.00
501566,0,0,
789599,0,0,$35.00
240914,0,14,$62.98
436190,0,14,$62.98
550557,0,7,"$4,253.06"
514880,0,0,$152.20
792126,0,0,$98.66
540490,0,53,"$1,946.19"
778951,0,12,$114.63
826920,0,2,
878613,0,0,$90.00
277285,0,9,$190.60
705917,0,5,$304.39
726634,0,3,$152.20
644389,0,0,$280.85
585455,0,0,$278.00
657293,0,0,$215.40
666737,0,0,$84.71
713709,0,6,$267.00
803664,0,3,$270.00
850699,0,0,$201.00
552743,0,0,$120.00
774702,0,0,
798577,0,22,"$1,782.44"
658769,0,6,$281.00
716112,0,4,$953.00
597388,0,1,$89.16
615071,0,0,"$2,025.00"
784720,0,0,$157.46
756785,0,0,$141.08
850198,0,0,$126.00
425664,0,21,"$28,209.00"
679448,0,1,$430.81
768969,0,1,$150.00
626019,0,0,$90.70
512774,0,5,$104.00
679180,0,0,$352.67
179326,0,0,$220.00
684311,0,0,$120.00
240108,0,0,$100.00
609643,0,0,$100.00
788743,0,0,
691575,0,2,$191.00
756432,0,2,$170.04
89641,0,0,$492.41
638344,0,0,$314.89
787917,0,0,
753511,0,0,$372.05
856762,0,0,$185.00
733349,0,0,$150.00
559852,0,55,"$2,064.60"
757817,0,17,"$1,751.38"
761173,0,6,$153.68
253710,0,4,$229.53
655630,0,0,$120.01
275233,0,1,$344.42
888584,0,0,$150.00
527384,0,1,
572250,0,1,$168.00
747047,0,0,"$3,609.00"
747913,0,0,$503.82
754514,0,0,$446.09
505518,0,0,$440.00
503296,0,0,$284.45
820416,0,7,$348.78
754701,0,4,$256.78
806436,0,0,$199.43
445811,0,0,$210.00
662729,0,0,$209.92
191475,0,0,$183.68
760047,0,0,$150.00
567040,0,0,$140.00
729391,0,4,"$1,221.00"
654575,0,0,$511.39
867132,0,0,$166.19
754831,0,1,$160.00
609200,0,0,$421.95
662350,0,0,$273.35
575670,0,0,$240.00
250646,0,0,$240.00
763940,0,0,
606825,0,0,$101.00
755205,0,0,
806426,0,0,$828.00
518016,0,0,$315.00
598913,0,0,$160.00
551561,0,0,$75.00
668172,0,72,"$22,079.89"
788233,0,9,
255612,0,0,$164.79
816266,0,0,$180.00
623461,0,0,$135.00
21312,0,7,$415.69
519664,0,3,$485.00
550202,0,3,"$1,393.90"
701166,0,0,$310.69
452421,0,5,$219.00
749741,0,3,$247.07
775213,0,0,$346.37
617169,0,0,$300.00
466032,0,0,$216.00
575953,0,0,$219.18
489852,0,0,$227.77
782731,0,0,"$1,482.43"
593340,0,0,$364.22
827776,0,14,$734.15
732560,0,1,$523.40
782266,0,0,$710.00
503605,0,0,$400.00
591368,0,0,"$1,950.00"
877681,0,0,$250.00
817061,0,0,$582.38
569835,0,1,
469664,0,1,$333.36
247534,0,0,$413.30
747746,0,0,$351.45
478734,0,0,$384.00
267892,0,0,$667.62
526029,0,0,"$2,494.00"
271607,0,20,"$1,345.61"
532723,0,0,$395.31
651086,0,0,$300.00
529850,0,0,$258.21
333759,0,0,"$4,487.00"
445553,0,31,"$7,474.26"
565284,0,2,$357.05
745989,0,0,$920.00
871762,0,0,$284.45
265528,0,1,$327.48
775040,0,0,$686.52
572988,0,34,$349.00
16367,0,0,$517.46
524267,0,0,$443.40
747640,0,5,"$1,863.00"
610251,0,0,"$1,669.00"
451256,0,0,$855.44
674942,0,3,$584.00
716994,0,0,"$2,750.00"
571575,0,1,"$1,831.00"
724239,0,0,$371.60
279531,0,0,$494.00
676931,0,43,"$4,199.00"
255109,0,5,$939.00
673429,0,14,$421.99
282440,0,6,$709.19
869707,0,0,$692.75
662969,0,23,$879.25
731873,0,1,$783.00
817889,0,0,$450.00
749537,0,0,$550.00
875858,0,0,$957.35
577984,0,20,$695.00
268803,0,4,$310.00
755331,0,0,"$1,399.84"
490430,0,0,$520.00
777000,0,17,"$2,470.52"
616611,0,0,$787.22
748012,0,25,$797.97
641925,0,0,"$1,739.71"
476576,0,13,"$1,524.78"
599444,0,10,"$1,089.00"
803517,0,0,"$3,495.24"
730853,0,0,$633.68
202608,0,0,$757.06
559945,0,0,"$1,264.00"
718619,0,2,$855.00
567812,0,0,"$2,230.44"
432,0,0,$565.00
508680,0,5,"$3,373.00"
489031,0,0,$925.00
439022,0,10,"$1,186.00"
724016,0,58,"$2,481.00"
571822,0,0,"$1,177.00"
597685,0,12,$826.34
750983,0,0,$723.28
642772,0,39,"$2,136.00"
763997,0,0,$748.40
602028,0,0,"$1,413.84"
716030,0,2,"$3,235.00"
827778,0,1,"$5,997.00"
256559,0,0,"$3,131.55"
689360,0,0,"$2,623.00"
532454,0,0,"$2,770.00"
462135,0,0,"$3,106.75"
619862,0,1,"$1,435.88"
563550,0,15,"$1,301.00"
515970,0,0,"$1,750.00"
735275,0,0,"$1,509.53"
34797,0,0,"$1,069.46"
720059,0,0,"$1,047.00"
514223,0,0,"$3,570.47"
567712,0,0,"$1,106.30"
572449,0,2,"$1,856.56"
707569,0,2,"$2,000.00"
826805,0,0,"$1,651.00"
523948,0,0,"$2,084.00"
827273,0,0,"$2,807.00"
177110,0,3,"$2,194.00"
14560,0,0,"$1,650.00"
657048,0,0,"$2,979.00"
472677,0,0,"$2,496.00"
448064,0,0,"$1,356.00"
439376,0,0,"$11,000.03"
779240,0,0,"$2,860.00"
418088,0,1,"$1,996.08"
559187,0,0,"$1,707.00"
786700,0,0,$920.00
535948,0,0,"$2,417.00"
497015,0,17,"$4,200.58"
647529,0,3,"$3,700.00"
715878,0,0,"$7,117.12"
668237,0,21,"$2,665.00"
554987,0,7,"$2,062.00"
475773,0,0,"$7,184.83"
567574,0,30,"$2,257.24"
830432,0,0,"$4,840.00"
781823,0,0,"$3,079.59"
713927,0,30,"$4,826.00"
868752,0,0,"$2,655.00"
690761,0,0,"$8,213.04"
755771,0,0,"$8,464.00"
729676,0,0,"$19,705.58"
415939,0,2,"$6,917.06"
258264,0,0,$996.00
246013,0,0,"$3,250.00"
583429,0,0,"$6,000.00"
735731,0,15,"$3,065.10"
846892,0,0,"$2,924.00"
627136,0,0,"$4,077.00"
762763,0,48,"$9,860.00"
573976,0,19,"$2,965.00"
274669,0,0,"$4,172.00"
493784,0,5,"$9,437.00"
846312,0,0,"$3,751.26"
417490,0,0,"$5,464.00"
545880,0,0,
539509,0,79,"$12,972.00"
438971,0,0,"$7,991.81"
529673,0,24,"$9,509.00"
472284,0,0,"$13,135.00"
477130,0,0,"$7,689.00"
458246,0,0,"$8,838.86"
781035,0,3,"$8,569.00"
493582,0,0,"$4,997.00"
241717,0,46,"$11,255.00"
596710,0,45,"$33,325.00"
434152,0,29,"$11,288.67"
612201,0,0,"$5,738.00"
732509,0,4,"$31,186.00"
253638,0,1,"$7,055.86"
615541,0,0,"$10,325.00"
421859,0,0,"$18,763.30"
825538,0,0,"$22,637.00"
519920,0,0,"$17,953.77"
726798,0,5,"$17,416.00"
564423,0,0,"$9,607.18"
568872,0,13,"$8,850.00"
539515,0,0,"$58,579.35"
454006,0,0,"$25,673.00"
835575,0,0,"$43,651.00"
435033,0,0,"$122,477.00"
637309,0,6,"$34,766.00"
755287,0,145,"$42,618.00"
248435,0,5,"$67,946.02"
741507,0,2,"$66,801.45"
